Gene name,Mutated samples,Samples tested
IDH2,0,114
IDH2_ENST00000559482,0,114
IDH2_ENST00000540499,0,114
BRAF_ENST00000644969,0,96
BRAF_ENST00000496384,0,96
BRAF_ENST00000469930,0,96
BRAF_ENST00000288602,0,96
PDGFRA_ENST00000508170,0,82
NF1_ENST00000490416,0,82
NF1_ENST00000487476,0,82
NF1_ENST00000431387,0,82
FGFR2_ENST00000611527,0,81
FGFR2_ENST00000478859,0,81
PTPN13_ENST00000502971,0,72
CDKN2A,0,50
CDKN2A_ENST00000304494,0,50
CDKN2A_ENST00000578845,0,50
CDKN2A_ENST00000530628,0,50
CDKN2A_ENST00000497750,0,50
CDKN2A_ENST00000579122,0,50
CDKN2A_ENST00000479692,0,50
CDKN2A_ENST00000498628,0,50
CDKN2A_ENST00000579755,0,50
CDKN2A_ENST00000494262,0,50
FGFR1_ENST00000619564,0,47
FGFR1,0,47
FGFR1_ENST00000397103,0,47
KRAS,0,47
FGFR1_ENST00000397108,0,47
KRAS_ENST00000311936,0,47
FGFR1_ENST00000356207,0,47
FGFR1_ENST00000335922,0,47
FGFR1_ENST00000447712,0,47
FGFR1_ENST00000397091,0,47
KRAS_ENST00000556131,0,47
FGFR1_ENST00000326324,0,47
FGFR1_ENST00000532791,0,47
FGFR1_ENST00000341462,0,47
FGFR1_ENST00000397113,0,47
KRAS_ENST00000557334,0,47
KIAA1549_ENST00000440172,0,44
KIAA1549,0,44
HRAS_ENST00000397596,0,38
HRAS,0,38
HRAS_ENST00000311189,0,38
HRAS_ENST00000417302,0,38
HRAS_ENST00000397594,0,38
ALK,0,36
MLH1_ENST00000435176,0,36
AKT1_ENST00000554848,0,36
AKT1_ENST00000402615,0,36
MLH1_ENST00000458205,0,36
AKT1_ENST00000555528,0,36
MLH1,0,36
MLH1_ENST00000455445,0,36
ALK_ENST00000618119,0,36
AKT1_ENST00000349310,0,36
ALK_ENST00000642122,0,36
MLH1_ENST00000536378,0,36
AKT1_ENST00000407796,0,36
AKT1,0,36
MLH1_ENST00000539477,0,36
SMAD4,0,35
FGFR3_ENST00000352904,0,35
FBXW7_ENST00000296555,0,35
SMAD4_ENST00000398417,0,35
GNAS_ENST00000306090,0,35
ERBB2_ENST00000445658,0,35
GNAS_ENST00000371075,0,35
GNAS_ENST00000371095,0,35
PTPN11_ENST00000351677,0,35
FBXW7_ENST00000603841,0,35
ATM_ENST00000530958,0,35
CDH1_ENST00000422392,0,35
GNAS,0,35
MPL_ENST00000413998,0,35
STK11_ENST00000586243,0,35
CDH1,0,35
RET_ENST00000615310,0,35
RET_ENST00000340058,0,35
JAK3_ENST00000534444,0,35
GNAS_ENST00000371081,0,35
FGFR3_ENST00000481110,0,35
JAK3_ENST00000527670,0,35
RET,0,35
ATM_ENST00000639240,0,35
GNAS_ENST00000371098,0,35
FGFR3,0,35
STK11,0,35
GNAS_ENST00000371099,0,35
PTPN11_ENST00000639857,0,35
NOTCH1,0,35
ERBB2,0,35
NPM1_ENST00000393820,0,35
GNAS_ENST00000371085,0,35
JAK3,0,35
CDH1_ENST00000621016,0,35
ERBB2_ENST00000584450,0,35
FGFR3_ENST00000412135,0,35
FGFR3_ENST00000613647,0,35
MPL,0,35
FBXW7_ENST00000263981,0,35
JAK2,0,35
GNAS_ENST00000371102,0,35
FBXW7_ENST00000604872,0,35
GNAS_ENST00000354359,0,35
ATM_ENST00000526567,0,35
GNAS_ENST00000265620,0,35
NPM1_ENST00000351986,0,35
RB1_ENST00000646097,0,35
CDH1_ENST00000612417,0,35
ATM_ENST00000639953,0,35
ATM_ENST00000640388,0,35
CDH1_ENST00000611625,0,35
FBXW7_ENST00000393956,0,35
PTPN11_ENST00000392597,0,35
GNAS_ENST00000306120,0,35
GNAS_ENST00000313949,0,35
SMAD4_ENST00000588745,0,35
NPM1_ENST00000517671,0,35
FGFR3_ENST00000440486,0,35
NPM1,0,35
VHL,0,35
VHL_ENST00000345392,0,35
FBXW7,0,35
PTPN11,0,35
FBXW7_ENST00000281708,0,35
ETV6,0,34
EZH2_ENST00000483967,0,34
BRCA1_ENST00000586385,0,34
EZH2_ENST00000350995,0,34
CSF1R_ENST00000543093,0,34
EZH2,0,34
BRCA1_ENST00000354071,0,34
FGFR4_ENST00000502906,0,34
BRCA1_ENST00000591534,0,34
BRCA1_ENST00000352993,0,34
EZH2_ENST00000478654,0,34
CEBPA,0,34
BRCA1_ENST00000493795,0,34
EZH2_ENST00000460911,0,34
BRCA1_ENST00000591849,0,34
FGFR4_ENST00000393648,0,34
DDR2,0,34
BRCA1_ENST00000357654,0,34
BRCA1,0,34
DDR2_ENST00000367921,0,34
BRCA1_ENST00000491747,0,34
BRCA1_ENST00000468300,0,34
EZH2_ENST00000476773,0,34
FGFR4_ENST00000393637,0,34
FGFR4,0,34
WT1,0,33
WT1_ENST00000639563,0,33
NTRK3_ENST00000540489,0,33
MAP2K1,0,33
FLT4_ENST00000502649,0,33
MAP2K4,0,33
WT1_ENST00000448076,0,33
PALB2,0,33
SUFU,0,33
AKT2_ENST00000424901,0,33
GNA11,0,33
AKT2_ENST00000311278,0,33
WT1_ENST00000530998,0,33
SUFU_ENST00000423559,0,33
WT1_ENST00000379079,0,33
SRC_ENST00000373567,0,33
MAP2K1_ENST00000566326,0,33
SRC_ENST00000358208,0,33
WT1_ENST00000640146,0,33
SRC,0,33
GNAQ,0,33
KDR,0,33
AKT2,0,33
NTRK3_ENST00000317501,0,33
SUFU_ENST00000369899,0,33
WT1_ENST00000452863,0,33
PDGFRB,0,33
FLT4_ENST00000393347,0,33
AKT2_ENST00000579047,0,33
PALB2_ENST00000568219,0,33
FLT4,0,33
FLT4_ENST00000619105,0,33
KDR_ENST00000263923,0,33
MAP2K4_ENST00000353533,0,33
WT1_ENST00000639907,0,33
SRC_ENST00000373558,0,33
NTRK3_ENST00000558676,0,33
NTRK3_ENST00000542733,0,33
MTOR_ENST00000376838,0,32
TET2_ENST00000305737,0,32
ESR1_ENST00000456483,0,32
KDM6A_ENST00000543216,0,32
AR_ENST00000504326,0,32
BCL6_ENST00000232014,0,32
MYCN,0,32
MYD88,0,32
MYC_ENST00000641252,0,32
MYC,0,32
TSHR_ENST00000554263,0,32
BAP1_ENST00000615113,0,32
AR,0,32
BCL6_ENST00000621333,0,32
TSHR_ENST00000298171,0,32
KDM6A_ENST00000621147,0,32
AR_ENST00000396043,0,32
AR_ENST00000613054,0,32
MAP2K2_ENST00000394867,0,32
ESR1,0,32
CD79B_ENST00000349817,0,32
ESR1_ENST00000406599,0,32
MYC_ENST00000259523,0,32
GATA1,0,32
BAP1_ENST00000296288,0,32
ESR1_ENST00000427531,0,32
SETD2_ENST00000638947,0,32
KDM6A_ENST00000611820,0,32
BCOR_ENST00000378463,0,32
TSHR_ENST00000554435,0,32
TET2_ENST00000413648,0,32
CD79B_ENST00000006750,0,32
DNMT3A_ENST00000321117,0,32
TSHR_ENST00000342443,0,32
MYD88_ENST00000396334,0,32
KDM6A_ENST00000536777,0,32
AR_ENST00000396044,0,32
DNMT3A_ENST00000406659,0,32
ESR1_ENST00000443427,0,32
GATA1_ENST00000376665,0,32
ESR1_ENST00000338799,0,32
AR_ENST00000612010,0,32
BAP1,0,32
DNMT3A_ENST00000402667,0,32
ESR1_ENST00000638569,0,32
DNMT3A,0,32
BCL6_ENST00000450123,0,32
MYC_ENST00000641036,0,32
TSHR_ENST00000642209,0,32
CD79B,0,32
ERBB3_ENST00000411731,0,32
MYD88_ENST00000443433,0,32
EP300,0,32
AR_ENST00000612452,0,32
RAF1_ENST00000442415,0,32
MYD88_ENST00000495303,0,32
TET2_ENST00000513237,0,32
MYCN_ENST00000638417,0,32
MAP2K2,0,32
TET2,0,32
MYC_ENST00000377970,0,32
KDM6A,0,32
KDM6A_ENST00000382899,0,32
RAF1,0,32
MYC_ENST00000524013,0,32
EPHA3_ENST00000452448,0,32
TSHR,0,32
MYD88_ENST00000424893,0,32
TET2_ENST00000380013,0,32
MYC_ENST00000613283,0,32
BCL6,0,32
ESR1_ENST00000206249,0,32
DNMT3A_ENST00000380746,0,32
ERCC2_ENST00000485403,0,31
IKZF1_ENST00000413698,0,31
IKZF1_ENST00000346667,0,31
STAT3_ENST00000404395,0,31
XPO1_ENST00000404992,0,31
DICER1_ENST00000541352,0,31
SMARCA4_ENST00000644737,0,31
CDKN2C,0,31
CDK12,0,31
CHEK2_ENST00000382565,0,31
SMARCA4_ENST00000647230,0,31
AKT3_ENST00000366540,0,31
ARID2_ENST00000444670,0,31
CCND1_ENST00000536559,0,31
PAX5_ENST00000377852,0,31
ARID1B_ENST00000637810,0,31
SMARCA4_ENST00000646510,0,31
IKZF1_ENST00000343574,0,31
IKZF1_ENST00000438033,0,31
ARID1B_ENST00000635849,0,31
CHEK2_ENST00000404276,0,31
MUTYH_ENST00000372115,0,31
MAPK1_ENST00000398822,0,31
PRKAR1A_ENST00000588188,0,31
IKZF1_ENST00000440768,0,31
MAP3K1,0,31
U2AF1_ENST00000398137,0,31
MUTYH_ENST00000355498,0,31
ASXL1_ENST00000646367,0,31
MUTYH_ENST00000528013,0,31
AKT3,0,31
SMARCA4_ENST00000642628,0,31
MAPK1,0,31
ASXL1_ENST00000542461,0,31
SOCS1_ENST00000332029,0,31
CCNE1,0,31
IKZF1,0,31
SMARCA4,0,31
XPO1_ENST00000406957,0,31
TNFAIP3_ENST00000621150,0,31
KMT2A_ENST00000389506,0,31
STAT3,0,31
ASXL1_ENST00000375689,0,31
MUTYH_ENST00000354383,0,31
GATA3_ENST00000645492,0,31
SMARCA4_ENST00000450717,0,31
MYCL,0,31
CDK12_ENST00000430627,0,31
PAX5_ENST00000523145,0,31
TNFAIP3_ENST00000237289,0,31
SOCS1,0,31
CHEK2_ENST00000328354,0,31
PAX5_ENST00000377847,0,31
MAPK1_ENST00000544786,0,31
SMARCA4_ENST00000541122,0,31
AKT3_ENST00000336199,0,31
TNFAIP3_ENST00000614035,0,31
CHEK2_ENST00000405598,0,31
MUTYH_ENST00000450313,0,31
CDKN1B_ENST00000396340,0,31
STAT3_ENST00000588969,0,31
SF3B1_ENST00000487698,0,31
CBL_ENST00000634586,0,31
MUTYH_ENST00000488731,0,31
U2AF1,0,31
PMS2,0,31
SF3B1,0,31
PRKAR1A_ENST00000358598,0,31
DICER1_ENST00000393063,0,31
TNFAIP3_ENST00000620204,0,31
KDM5C_ENST00000375383,0,31
IKZF1_ENST00000612658,0,31
CDKN2C_ENST00000371761,0,31
KDM5C_ENST00000452825,0,31
KEAP1,0,31
PHOX2B,0,31
MUTYH,0,31
ARID1B_ENST00000637003,0,31
PRKAR1A_ENST00000536854,0,31
CHEK2,0,31
PMS2_ENST00000441476,0,31
PAX5_ENST00000446742,0,31
MYCL_ENST00000372815,0,31
SMARCA4_ENST00000643296,0,31
KDM5C,0,31
CDKN2C_ENST00000396148,0,31
CDC73,0,31
ATR,0,31
NFE2L2_ENST00000423513,0,31
IKZF1_ENST00000359197,0,31
ERCC2_ENST00000391944,0,31
MUTYH_ENST00000372104,0,31
RAD21_ENST00000517749,0,31
MUTYH_ENST00000531105,0,31
KDM5C_ENST00000404049,0,31
NOTCH2_ENST00000602566,0,31
IKZF1_ENST00000331340,0,31
SRSF2_ENST00000508921,0,31
CCND1,0,31
PAX5_ENST00000377853,0,31
KMT2A,0,31
IKZF1_ENST00000492782,0,31
PRDM1_ENST00000369089,0,31
BRIP1,0,31
BCL2,0,31
SMARCA4_ENST00000646693,0,31
DICER1_ENST00000343455,0,31
MUTYH_ENST00000448481,0,31
PAX5_ENST00000520281,0,31
CCNE1_ENST00000357943,0,31
ARID1B_ENST00000637904,0,31
DICER1,0,31
BCL2_ENST00000589955,0,31
SMARCA4_ENST00000643549,0,31
ERCC2,0,31
PMS2_ENST00000644110,0,31
RAD21,0,31
KDM5C_ENST00000375379,0,31
SF3B1_ENST00000414963,0,31
SMARCA4_ENST00000444061,0,31
MUTYH_ENST00000529984,0,31
PAX5_ENST00000520154,0,31
IKZF1_ENST00000439701,0,31
RAD21_ENST00000518055,0,31
PMS2_ENST00000642456,0,31
PAX5_ENST00000522003,0,31
SMARCA4_ENST00000429416,0,31
MUTYH_ENST00000456914,0,31
CCND2,0,31
SRSF2,0,31
XPO1,0,31
ASXL1_ENST00000497249,0,31
ZRSR2_ENST00000380308,0,31
AKT3_ENST00000366539,0,31
CD79A,0,31
ARID2_ENST00000457135,0,31
PRKAR1A,0,31
PAX5_ENST00000523241,0,31
