Gene name,Mutated samples,Samples tested
EGFR,27685,104622
KRAS_ENST00000311936,7313,46148
EGFR_ENST00000454757,6613,104622
EGFR_ENST00000455089,6594,104622
EGFR_ENST00000638463,6593,104622
KRAS_ENST00000557334,6573,46148
KRAS,6571,46148
KRAS_ENST00000556131,6421,46148
TP53,6118,14415
TP53_ENST00000610292,5035,14415
TP53_ENST00000445888,5035,14415
TP53_ENST00000620739,5035,14415
TP53_ENST00000610538,5035,14415
TP53_ENST00000420246,5035,14415
TP53_ENST00000622645,5035,14415
TP53_ENST00000617185,5035,14415
TP53_ENST00000619485,5035,14415
TP53_ENST00000455263,5035,14415
TP53_ENST00000359597,5028,14415
TP53_ENST00000413465,5028,14415
TP53_ENST00000615910,5028,14415
TP53_ENST00000619186,4626,14415
TP53_ENST00000610623,4626,14415
TP53_ENST00000504290,4626,14415
TP53_ENST00000618944,4626,14415
TP53_ENST00000510385,4626,14415
TP53_ENST00000504937,4626,14415
TTN_ENST00000342992,1537,3103
TTN_ENST00000460472,1537,3103
TTN,1537,3103
TTN_ENST00000591111,1537,3103
TTN_ENST00000359218,1536,3103
TTN_ENST00000342175,1536,3103
TTN_ENST00000615779,1536,3103
PCDHGA1,1121,3038
MUC16,1119,3098
CSMD3,1105,3240
CSMD3_ENST00000455883,1101,3240
CSMD3_ENST00000343508,1091,3240
PCDHGA2,1078,3038
PCDHA1,1061,3051
PCDHA1_ENST00000394633,1061,3051
LRP1B,1022,3488
PCDHGA3,1012,3038
PCDHA2,994,3050
RYR2,971,2946
RYR2_ENST00000360064,966,2946
USH2A,964,3074
PIK3CA,959,18686
PCDHGB1,954,2962
PCDHA3,939,3050
PCDHGA4,926,3035
PCDHA4,889,3050
PCDHA4_ENST00000512229,887,3050
PCDHGB2,887,2960
PCDHGA5,834,3035
PCDHA5,826,3050
PCDHA5_ENST00000529619,824,3050
STK11,803,9837
ZFHX4,792,2938
PCDHGB3,791,2957
ZFHX4_ENST00000518282,788,2938
KEAP1,782,6215
PCDHA6,766,3045
BRAF,766,30854
KEAP1_ENST00000393623,765,6215
PCDHA6_ENST00000527624,764,3045
MET,763,25764
PCDHGA6,751,2955
RB1,746,7668
STK11_ENST00000586243,739,9837
CDKN2A_ENST00000304494,730,9503
SYNE1_ENST00000341594,695,3072
SYNE1_ENST00000423061,695,3072
SYNE1,695,3072
TTN_ENST00000360870,694,3103
PCDHGA7,692,2954
PCDHA7,686,3043
PCDHGB4,653,2954
SPTA1_ENST00000368147,626,2945
SPTA1,626,2945
KMT2D,624,5205
PCDHA8,622,3040
FLG,617,2945
PCDHGA8,613,2953
MMP26,611,2958
XIRP2_ENST00000409728,600,2941
XIRP2,600,2941
XIRP2_ENST00000409043,600,2941
PTPRD,580,5422
ARID1A,580,8123
CSMD1_ENST00000520002,576,2941
CSMD1_ENST00000400186,576,2941
CSMD1,576,2941
CSMD1_ENST00000602557,576,2941
CSMD1_ENST00000602723,576,2941
FAM135B,575,3109
KMT2C,574,4830
COL11A1_ENST00000353414,573,3060
COL11A1_ENST00000358392,573,3060
COL11A1,573,3060
KMT2C_ENST00000355193,570,4830
MUC17,570,2946
COL11A1_ENST00000512756,568,3060
NAV3,567,2958
XIRP2_ENST00000628543,566,2941
NF1,562,6244
PTPRD_ENST00000397617,561,5422
PTPRD_ENST00000397611,561,5422
PTPRD_ENST00000537002,561,5422
