Gene name,Mutated samples,Samples tested
MYC_ENST00000641036,0,5786
BAP1_ENST00000615113,0,5637
MAP3K13_ENST00000454237,0,4894
MAP3K13_ENST00000438798,0,4894
MAP3K13_ENST00000448876,0,4894
MGA_ENST00000619521,0,4885
SMARCE1_ENST00000643806,0,3167
PLD1_ENST00000331659,0,3076
RIN3_ENST00000557762,0,3076
CRBN_ENST00000629101,0,2995
TSHZ2_ENST00000626626,0,2956
NDUFAF8,0,2948
GLOD4_ENST00000625892,0,2941
AC091980.2,0,2941
MCRIP2_ENST00000629534,0,2939
NAV1_ENST00000593583,0,2939
FBXL8_ENST00000518148,0,2939
PTP4A1_ENST00000578299,0,2939
PLS3_ENST00000626746,0,2939
SSH2_ENST00000590153,0,2939
UBA3_ENST00000631029,0,2939
SSH2_ENST00000579954,0,2939
FBXL8_ENST00000521920,0,2939
SSH2_ENST00000582084,0,2939
HIST2H3C,0,2939
SRSF10_ENST00000343255,0,2938
RNF146_ENST00000609447,0,2938
ZNF493_ENST00000599461,0,2938
ACYP2_ENST00000606082,0,2938
BRD3OS_ENST00000603928,0,2938
PFKL_ENST00000628044,0,2938
SNX5_ENST00000486039,0,2938
SRSF10,0,2938
SPEM3,0,2938
ALDH1A3_ENST00000557963,0,2938
SNX5_ENST00000606557,0,2938
ZNF134_ENST00000600344,0,2938
SLC2A10_ENST00000486000,0,2938
SNX5_ENST00000606602,0,2938
LRWD1_ENST00000626402,0,2938
IPO7_ENST00000630083,0,2938
VPS37A_ENST00000521005,0,2938
MYCBPAP_ENST00000419930,0,2938
PANO1,0,2938
BOLA2B,0,2938
SNX5_ENST00000481323,0,2938
IDH3A_ENST00000629769,0,2938
FAM177A1_ENST00000554052,0,2938
PPP1R3E,0,2938
RNF146_ENST00000477776,0,2938
LMBR1_ENST00000638959,0,2938
OSBPL1A_ENST00000638614,0,2938
TADA2A_ENST00000612272,0,2937
CCL3,0,2937
H2BFS,0,2937
RIMBP3,0,2937
ARHGAP23_ENST00000620417,0,2937
HIST2H4A,0,2937
SNAP23_ENST00000627440,0,2937
AC116565.1,0,2937
TBC1D3B,0,2937
CT47A2,0,2937
OR4F29,0,2937
TMEM191B,0,2937
USP17L11_ENST00000613973,0,2937
SMN1_ENST00000625245,0,2937
MMP24OS,0,2937
CT45A2_ENST00000612907,0,2937
CT47A3,0,2937
SSU72P5,0,2937
SMN2_ENST00000628696,0,2937
KCNE1B,0,2937
CTAG1B,0,2937
AC096582.3,0,2937
MRLN,0,2937
SCYGR4,0,2937
NBPF26,0,2937
SMIM36,0,2937
GATD3B_ENST00000624120,0,2937
SYNRG,0,2937
H2AFB2,0,2937
HGH1_ENST00000628266,0,2937
USP17L26,0,2937
KCNE1B_ENST00000623803,0,2937
AC135068.3,0,2937
NPY4R2,0,2937
BRD3OS,0,2937
USP17L28,0,2937
SRCIN1,0,2937
DPEP2NB,0,2937
TSPY4,0,2937
SDHAF1,0,2937
NPIPA3,0,2937
USP17L12,0,2937
ZNF75A_ENST00000612186,0,2937
NBPF26_ENST00000619748,0,2937
GTF2IRD2B_ENST00000614064,0,2937
TBC1D3I_ENST00000618620,0,2937
MAGEA2,0,2937
NBPF26_ENST00000617913,0,2937
FAM240B_ENST00000637691,0,2937
CCL4L2_ENST00000615418,0,2937
NRGN,0,2937
USP17L21,0,2937
ELOA3B,0,2937
AC007906.2,0,2937
NBPF26_ENST00000611287,0,2937
CCL5_ENST00000605140,0,2937
PPIAL4C,0,2937
CT47A10,0,2937
CT47A7,0,2937
USP17L20,0,2937
NPIPA2_ENST00000530328,0,2937
SLC12A5_ENST00000628272,0,2937
DEFA1B,0,2937
ANTXRL,0,2937
HNF1B_ENST00000614313,0,2937
AC135068.1,0,2937
PIGBOS1,0,2937
LBHD2,0,2937
RD3L,0,2937
DUX4_ENST00000569241,0,2937
AC106774.9,0,2937
PRR20E,0,2937
CT47A12,0,2937
AC068987.5,0,2937
CCL14_ENST00000620991,0,2937
HIST2H3A,0,2937
PNRC2_ENST00000579103,0,2937
GTF2IRD2_ENST00000614386,0,2937
CENPVL3,0,2937
CCL4L2_ENST00000620250,0,2937
C12orf49_ENST00000548356,0,2937
OST4,0,2937
ZNF696_ENST00000520333,0,2937
GATD3B,0,2937
CT47A4,0,2937
THSD8,0,2937
NPIPB13_ENST00000618637,0,2937
SMIM11B_ENST00000612624,0,2937
TBC1D3D,0,2937
USP17L5,0,2937
CD24,0,2937
MMP28,0,2937
CBSL_ENST00000398168,0,2937
CCL4L2,0,2937
TEX22,0,2937
CCL4,0,2937
DEFB130B,0,2937
KRTAP2-1_ENST00000542137,0,2937
SERF1B_ENST00000515588,0,2937
RGPD5_ENST00000272454,0,2937
TSPY4_ENST00000640033,0,2937
ETDB_ENST00000426364,0,2937
HNF1B_ENST00000613727,0,2937
CCDC187,0,2937
EPOP,0,2937
PMIS2,0,2937
