Gene name,Mutated samples,Samples tested
TP53,1336,4486
TP53_ENST00000445888,1209,4486
TP53_ENST00000622645,1209,4486
TP53_ENST00000455263,1209,4486
TP53_ENST00000617185,1209,4486
TP53_ENST00000620739,1209,4486
TP53_ENST00000610292,1209,4486
TP53_ENST00000420246,1209,4486
TP53_ENST00000619485,1209,4486
TP53_ENST00000610538,1209,4486
TP53_ENST00000359597,1208,4486
TP53_ENST00000413465,1208,4486
TP53_ENST00000615910,1207,4486
CTNNB1,1148,5736
TP53_ENST00000504937,1141,4486
TP53_ENST00000504290,1141,4486
TP53_ENST00000610623,1141,4486
TP53_ENST00000618944,1141,4486
TP53_ENST00000510385,1141,4486
TP53_ENST00000619186,1141,4486
CTNNB1_ENST00000645493,985,5736
CTNNB1_ENST00000644867,985,5736
CTNNB1_ENST00000643992,985,5736
CTNNB1_ENST00000642992,985,5736
CTNNB1_ENST00000643541,985,5736
CTNNB1_ENST00000643977,985,5736
CTNNB1_ENST00000396185,985,5736
CTNNB1_ENST00000642836,985,5736
CTNNB1_ENST00000644138,985,5736
CTNNB1_ENST00000453024,985,5736
CTNNB1_ENST00000433400,985,5736
CTNNB1_ENST00000647390,985,5736
CTNNB1_ENST00000645276,985,5736
CTNNB1_ENST00000642248,985,5736
CTNNB1_ENST00000642986,985,5736
CTNNB1_ENST00000644678,985,5736
CTNNB1_ENST00000645210,985,5736
CTNNB1_ENST00000431914,985,5736
CTNNB1_ENST00000647264,985,5736
CTNNB1_ENST00000396183,985,5736
CTNNB1_ENST00000645900,985,5736
CTNNB1_ENST00000644524,985,5736
CTNNB1_ENST00000349496,985,5736
CTNNB1_ENST00000642886,985,5736
CTNNB1_ENST00000405570,985,5736
CTNNB1_ENST00000450969,985,5736
CTNNB1_ENST00000646369,985,5736
CTNNB1_ENST00000642315,985,5736
CTNNB1_ENST00000643031,985,5736
CTNNB1_ENST00000646174,985,5736
CTNNB1_ENST00000643297,985,5736
CTNNB1_ENST00000646725,985,5736
CTNNB1_ENST00000644873,985,5736
CTNNB1_ENST00000645982,985,5736
CTNNB1_ENST00000642426,985,5736
CTNNB1_ENST00000646116,985,5736
CTNNB1_ENST00000646381,985,5736
CTNNB1_ENST00000441708,983,5736
TTN_ENST00000359218,271,1023
TTN_ENST00000615779,271,1023
TTN_ENST00000342175,271,1023
TTN_ENST00000342992,271,1023
TTN_ENST00000591111,271,1023
TTN_ENST00000460472,271,1023
TTN,271,1023
PCDHGA1,215,1023
AXIN1,212,1983
MUC16,206,1026
PCDHGA2,201,1022
AXIN1_ENST00000354866,200,1983
PCDHGA3,190,1022
PCDHGB1,184,1022
PCDHA1,181,1022
PCDHA1_ENST00000394633,181,1022
PCDHGA4,177,1022
PCDHA2,170,1022
PCDHA3,163,1022
PCDHGB2,162,1022
PCDHGA5,157,1021
PCDHA4_ENST00000512229,152,1020
PCDHA4,152,1020
PCDHA5_ENST00000529619,142,1018
PCDHA5,142,1018
PCDHGB3,141,1021
PCLO,136,1016
PCDHA6,133,1018
PCDHA6_ENST00000527624,133,1018
PCLO_ENST00000423517,130,1015
OBSCN_ENST00000422127,128,1019
OBSCN,128,1019
OBSCN_ENST00000636875,128,1019
OBSCN_ENST00000366707,128,1019
PCDHGA6,128,1021
RYR2,126,1026
CSMD3,126,1021
RYR2_ENST00000360064,124,1026
CSMD3_ENST00000343508,123,1021
CSMD3_ENST00000455883,123,1021
PCDHA7,121,1018
PCDHGA7,120,1020
ARID1A,120,1489
PCDHGB4,114,1020
ARID1A_ENST00000430799,112,1489
PCDHA8,112,1017
ARID1A_ENST00000457599,112,1489
CSMD1_ENST00000602557,111,1023
CSMD1,111,1023
CSMD1_ENST00000520002,111,1023
CSMD1_ENST00000400186,111,1023
CSMD1_ENST00000602723,111,1023
CSMD1_ENST00000537824,110,1023
CDKN2A_ENST00000304494,110,1930
ARID2,109,1574
PCDHGA8,108,1020
OBSCN_ENST00000284548,107,1019
XIRP2_ENST00000409043,103,1013
XIRP2_ENST00000409728,103,1013
XIRP2,103,1013
HMCN1,102,1020
LRP1B,102,1068
ARID2_ENST00000422737,101,1574
PCDHA9,101,1017
PCDHGB5,99,1019
USH2A,96,1018
PCDHA10_ENST00000506939,95,1015
PCDHA10,95,1015
PREX2,94,1104
XIRP2_ENST00000628543,94,1013
PCDHGA9,94,1019
ABCA13,93,1023
FBN2,92,1020
DOCK2,92,1018
SYNE1_ENST00000423061,91,1034
SYNE1_ENST00000341594,91,1034
SYNE1,91,1034
FBN2_ENST00000262464,90,1020
FAT3,90,1032
EYS,90,1019
FAT3_ENST00000409404,90,1032
EYS_ENST00000503581,90,1019
FBN2_ENST00000619499,89,1020
PCDH15_ENST00000644397,88,1017
PCDH15_ENST00000414778,88,1017
PCDH15_ENST00000495484,88,1017
ARID1A_ENST00000374152,88,1489
PCDH15_ENST00000373965,88,1017
PCDH15_ENST00000614895,88,1017
PCDHGB6,88,1018
PCDH15_ENST00000616114,88,1017
PCDH15_ENST00000621708,88,1017
DNAH9,87,1018
DNAH9_ENST00000454412,87,1018
COL11A1_ENST00000512756,86,1019
PCDH15_ENST00000395445,86,1017
PCDH15_ENST00000395440,86,1017
PCDH15_ENST00000395446,86,1017
PCDH15_ENST00000395442,86,1017
COL11A1,86,1019
PCDH15_ENST00000617271,86,1017
PCDH15_ENST00000612394,86,1017
PCDH15_ENST00000395438,86,1017
ARID2_ENST00000444670,86,1574
PCDH15_ENST00000613657,86,1017
COL11A1_ENST00000353414,86,1019
PCDH15_ENST00000409834,86,1017
COL11A1_ENST00000358392,86,1019
XIRP2_ENST00000409273,85,1013
XIRP2_ENST00000409605,85,1013
ADGRV1,84,1015
PCDHGA10,84,1017
FLG,84,1016
ADGRV1_ENST00000645211,84,1015
ALB_ENST00000621085,83,1025
ALB_ENST00000621628,83,1025
ALB_ENST00000415165,83,1025
ALB,83,1025
ALB_ENST00000509063,82,1025
ALB_ENST00000401494,82,1025
MUC4,82,1019
ALB_ENST00000503124,82,1025
MUC4_ENST00000346145,81,1019
SDK1_ENST00000615806,81,1016
SDK1,81,1016
MUC4_ENST00000349607,81,1019
MUC4_ENST00000475231,80,1019
NBEA_ENST00000379939,80,1021
RYR1,80,1016
NBEA,80,1021
DOCK2_ENST00000520908,80,1018
NBEA_ENST00000310336,80,1021
