Gene name,Mutated samples,Samples tested
BAP1_ENST00000615113,0,1177
SF3B1_ENST00000409915,0,1152
SF3B1_ENST00000414963,0,1152
SF3B1_ENST00000487698,0,1152
MYC_ENST00000641252,0,1144
MYC_ENST00000641036,0,1144
TNFRSF14_ENST00000409119,0,1128
PPP2R1A_ENST00000477989,0,1113
PPP2R1A_ENST00000628959,0,1113
CDK4_ENST00000312990,0,1112
CDK4,0,1112
CDK4_ENST00000549606,0,1112
RAD51C_ENST00000421782,0,1111
MDM4_ENST00000367180,0,1111
MGA_ENST00000619521,0,1111
MITF_ENST00000394348,0,1111
MDM4_ENST00000507825,0,1111
CCL26,0,1099
CCL26_ENST00000005180,0,1099
MAPK3_ENST00000395202,0,1098
MAPK3_ENST00000484663,0,1098
MAPK3_ENST00000395200,0,1098
MAPK3_ENST00000395199,0,1098
H3F3C,0,1097
MAP3K13_ENST00000448876,0,1097
TIMM8B_ENST00000504148,0,1097
ANKRD11_ENST00000567736,0,1097
MAP3K13_ENST00000438798,0,1097
BCL2L11_ENST00000405953,0,1097
TIMM8B,0,1097
EED_ENST00000527888,0,1097
MAP3K13_ENST00000454237,0,1097
CHD2_ENST00000629346,0,1026
TSHZ2_ENST00000626626,0,1026
CHD2_ENST00000627622,0,1026
BCL2L2,0,1026
RRAS,0,1026
HOXC13,0,1024
TMEM198_ENST00000373883,0,1016
TMEM198,0,1016
HIST1H2AB,0,1015
HEXB_ENST00000509579,0,1015
MFSD11_ENST00000590393,0,1015
DNAJC14_ENST00000646577,0,1015
HIST3H2BB,0,1014
PET100_ENST00000456958,0,1014
NAA10_ENST00000370009,0,1014
SERINC4,0,1014
WDR54_ENST00000409791,0,1014
NAT9_ENST00000582524,0,1014
MED29,0,1014
GPANK1_ENST00000375895,0,1014
GPANK1_ENST00000375893,0,1014
CRYAB_ENST00000526180,0,1014
NDUFS3,0,1014
MED29_ENST00000615911,0,1014
FAM243A,0,1014
CPHXL,0,1014
SPDL1_ENST00000629457,0,1014
WDR54,0,1014
PRLH,0,1014
CDK16_ENST00000622098,0,1014
BRD3OS_ENST00000603928,0,1014
MED29_ENST00000599213,0,1014
COQ10A_ENST00000433805,0,1014
CRYAB_ENST00000525823,0,1014
CRYAB_ENST00000533971,0,1014
CRYAB_ENST00000227251,0,1014
GPANK1,0,1014
NAT9_ENST00000583476,0,1014
SDCBP_ENST00000447267,0,1014
CCL27,0,1014
CTBP1_ENST00000629223,0,1014
PANO1,0,1014
CRYAB_ENST00000533280,0,1014
PUSL1,0,1014
KIF9_ENST00000425452,0,1014
MTLN_ENST00000426713,0,1014
CDK16_ENST00000457458,0,1014
SNAPC2_ENST00000597584,0,1014
MED29_ENST00000594368,0,1014
KIF9_ENST00000432493,0,1014
CMTM5_ENST00000382809,0,1014
AL121845.2,0,1014
COQ10A_ENST00000546544,0,1014
PET100,0,1014
GPANK1_ENST00000375896,0,1014
GPANK1_ENST00000375900,0,1014
NAA10_ENST00000370015,0,1014
MT1A,0,1014
PET100_ENST00000601406,0,1014
SERINC4_ENST00000299969,0,1014
PPP1R11_ENST00000376758,0,1014
LY6E_ENST00000522024,0,1014
NAA10_ENST00000393712,0,1014
SNAPC2,0,1014
CDK16_ENST00000357227,0,1014
